trumpApprove,commonweight,birthyr,gender,race,hispanic,educ,region,age_bin,gender_bin,race_bin,educ_bin,party_id,inputstate
1,0.385784936367837,1936,1,1,2,5,4,65+,Male,White,College degree,3,4
0,0.874408300254348,1962,2,1,2,4,4,45-64,Female,White,Some college,3,6
1,1.15412950571064,1962,1,1,2,5,2,45-64,Male,White,College degree,2,39
1,0.585964168515124,1955,1,1,2,5,3,65+,Male,White,College degree,2,12
1,0.812806951782632,1941,1,1,2,4,4,65+,Male,White,Some college,3,6
1,1.15199061974453,1957,2,1,2,5,1,45-64,Female,White,College degree,2,34
0,0.666373968281851,1973,1,1,2,5,4,45-64,Male,White,College degree,3,6
1,1.08594358755453,1955,2,1,2,5,4,65+,Female,White,College degree,2,6
1,0.812806951782632,1955,1,1,2,3,4,65+,Male,White,Some college,3,6
0,0.916295355648008,1974,2,1,2,3,4,45-64,Female,White,Some college,3,8
0,1.02082485425219,1950,2,1,2,6,3,65+,Female,White,Postgraduate,1,24
0,0.918797307820052,1961,2,1,2,5,1,45-64,Female,White,College degree,1,36
1,0.624998925880088,1961,1,1,2,3,2,45-64,Male,White,Some college,3,26
0,0.679786316695178,1988,1,1,2,6,3,30-44,Male,White,Postgraduate,3,11
0,0.434117806081329,1950,1,1,2,6,3,65+,Male,White,Postgraduate,1,47
0,0.703806139293994,1989,2,1,2,6,2,30-44,Female,White,Postgraduate,4,18
1,1.1604319523958,1951,2,1,2,3,4,65+,Female,White,Some college,2,41
1,0.759022126370393,1946,1,1,2,3,2,65+,Male,White,Some college,3,26
0,1.29229100798751,1974,2,1,2,6,2,45-64,Female,White,Postgraduate,1,26
0,0.662010061345307,1954,2,1,2,5,3,65+,Female,White,College degree,1,12
0,0.329682635165454,1950,2,8,2,6,3,65+,Female,Other,Postgraduate,1,51
0,0.697404944104672,1958,2,1,2,5,2,45-64,Female,White,College degree,1,46
1,0.426125063990388,1962,1,1,2,3,3,45-64,Male,White,Some college,2,24
0,0.469166648388738,1953,1,1,2,6,2,65+,Male,White,Postgraduate,3,26
0,0.753308608658407,1972,2,1,2,6,1,45-64,Female,White,Postgraduate,1,34
1,1.60934242376534,1981,1,1,2,5,3,30-44,Male,White,College degree,2,37
0,0.783652266123768,1955,2,2,2,3,3,65+,Female,Black,Some college,1,12
0,0.843935259342491,1948,2,1,2,5,4,65+,Female,White,College degree,1,35
0,0.610222819369649,1986,2,1,2,6,4,30-44,Female,White,Postgraduate,1,41
0,0.829702949182296,1960,2,1,2,5,2,45-64,Female,White,College degree,1,39
1,0.765506881627697,1989,2,1,2,5,4,30-44,Female,White,College degree,3,6
0,0.653545873570178,1972,1,1,2,6,3,45-64,Male,White,Postgraduate,3,21
1,0.901248256401694,1959,2,1,2,5,4,45-64,Female,White,College degree,2,6
0,1.19935932666028,1959,2,1,2,6,4,45-64,Female,White,Postgraduate,1,53
0,0.801791754525914,1970,1,1,2,6,3,45-64,Male,White,Postgraduate,1,24
0,0.149890279257764,1957,1,5,2,6,4,45-64,Male,Other,Postgraduate,2,41
1,0.227507477370646,1954,1,7,1,5,4,65+,Male,Hispanic,College degree,4,6
0,0.513343780761073,1970,2,1,2,6,4,45-64,Female,White,Postgraduate,3,35
0,0.781784747364078,1950,2,1,2,3,2,65+,Female,White,Some college,1,39
0,0.519798654095145,1963,2,1,2,5,2,45-64,Female,White,College degree,1,29
1,0.852041813738722,1947,1,1,2,5,1,65+,Male,White,College degree,2,25
0,0.969534756406067,1991,2,1,2,6,1,18-29,Female,White,Postgraduate,1,36
1,0.727669419914336,1967,1,1,2,6,3,45-64,Male,White,Postgraduate,4,37
1,1.14729040052168,1949,1,1,2,4,1,65+,Male,White,Some college,3,36
1,1.41743807341796,1948,2,1,2,4,3,65+,Female,White,Some college,2,48
